Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	Run1	Run2	Run3	Run4	Run5	Run6	Run7	Run8
P00014	P00014	GENE14	GENE14	Description 14	830827.4143196043	2697526.5312451064	7869769.03075186	16182150.120195892	1496136.0647336908	6934117.109355605	5555704.519166738	16482276.141554417
P00015	P00015	GENE15	GENE15	Description 15	1478370.3525214521	1194210.8072113895	337066.38824027183	5232487.449700281	5680039.477368022	1165879.8720915765	1827483.3205030325	2373440.94322102
P00016	P00016	GENE16	GENE16	Description 16	37566306.325410336	2086146.6868493417	11743042.067437178	1255270.3898767398	684928.9564996697	2565097.0556475804	5269713.836166357	6290282.34731659
P00017	P00017	GENE17	GENE17	Description 17	924463.5732561846	6630954.041888428	15178406.487893822	4277614.717175763	183001.51063682596	2742838.6182512613	3082585.577723949	129373674.01204765
P00018	P00018	GENE18	GENE18	Description 18	31917024.17699833	1484762.6099505124	2678706.5529423645	323424.3792258247	5708919.735888292	2672608.8886455405	22123114.31488427	4099771.1425547106
P00019	P00019	GENE19	GENE19	Description 19	6537775.025438053	25089966.874371637	1008808.8831912918	7277606.678206894	15100302.651399523	2514230.380442965	1233616.7822329928	181262633.40614557
P00020	P00020	GENE20	GENE20	Description 20	1387404.4604840835	485365.576831469	2027301.5008053544	1063946.4683359338	8502429.22816256	1376239.8606562458	7471354.787342867	5278316.579832327
P00021	P00021	GENE21	GENE21	Description 21	34355281.99623319	166095.82331834722	13313926.05522582	2917269.570234539	4414953.284388799	985850.0027066731	828009.9370736667	1292461.4686158008
P00022	P00022	GENE22	GENE22	Description 22	244859.13974267838	7540469.654851774	4143214.515822144	543963.912855487	4831613.36352484	10237220.292069426	3007402.223309819	1880647.102328068
P00023	P00023	GENE23	GENE23	Description 23	2078235.252245719	9613043.58045847	12052796.75194941	389966.25271134824	3016725.8683249312	5174482.618879848	994437.0654484124	1020630.7920666463
P00024	P00024	GENE24	GENE24	Description 24	2682538.5226358273	8537666.426389934	9715865.496163266	297742.77418615756	4082597.0239351983	17641404.35115683	32745076.82497783	7862329.322351635
P00025	P00025	GENE25	GENE25	Description 25	2781246.5532241305	650995.5815917593	4910397.123102147	10743662.402343279	4279820.674698988	6357908.653252085	13243725.936304389	20245392.902328324
P00026	P00026	GENE26	GENE26	Description 26	546546.1170012106	3115292.3738301373	55978734.845046744	14850035.347602692	2075401.9232897027	2430733.960115087	10568680.156826258	1439364.8934743816
P00027	P00027	GENE27	GENE27	Description 27	7831823.354159873	49039184.208984256	6588792.62678955	4694876.530936745	13494576.173977003	2213494.9250870566	975929.6778301413	99917.79131138713
P00028	P00028	GENE28	GENE28	Description 28	1114288.5609686465	2655535.496230246	1310138.985561276	5305546.590334679	3349668.689233376	1055146.4619011385	1687320.5896973542	898375.1595246322
P00029	P00029	GENE29	GENE29	Description 29	10938378.781364717	1460391.9305167603	18660487.32696425	27925888.72145026	2345935.5043952377	2481772.0874513104	7661340.719261518	2827772.298918578
P00030	P00030	GENE30	GENE30	Description 30	52133911.29223005	108989291.23547107	5502381.158415759	2238653.428177499	4479947.727408566	5564851.530897018	703337.4359894191	1274552.052282353
P00031	P00031	GENE31	GENE31	Description 31	2534075.201526854	4707868.151440085	518766.1789798444	10823700.264613036	8650477.410049502	5148438.361546062	20867936.79034281	146491.02627471747
P00032	P00032	GENE32	GENE32	Description 32	3517099.410643687	1087144.3219484908	28087858.24421352	26262364.435113087	2224515.653609266	2272317.4876716114	914775.3039629699	2575403.16495127
P00033	P00033	GENE33	GENE33	Description 33	2274683.781105411	6486184.741044525	943587.6256731516	9338130.76471768	644806.4145186673	6567420.2066796385	6002304.698533646	1116148.1212951897
P00034	P00034	GENE34	GENE34	Description 34	33128939.050208952	2617787.7056646263	389576.12522168277	37423416.7687916	667764.1681111876	2856409.4876136985	3193006.317259054	1876386.7716623931
P00035	P00035	GENE35	GENE35	Description 35	118685139.85094558	1451045.463840981	24927343.458724827	8281426.319742143	6768825.323903598	1342221.8131798767	471491.1833774719	2612251.7772237756
P00036	P00036	GENE36	GENE36	Description 36	294555.8979252533	20336392.310124855	243190.49108342812	8126434.143836417	7944251.359744709	8672723.23865769	1690340.9501985004	8798333.345996408
P00037	P00037	GENE37	GENE37	Description 37	5362434.675558778	8898666.992846781	2896303.5511257867	1176454.0509395036	6308267.726492526	1956735.4340315394	13781534.446579987	4380253.379977523
P00038	P00038	GENE38	GENE38	Description 38	819810.6275689633	2343649.461928198	1090425.8290722903	22474796.29475861	280000.502170646	47404223.2531675	1557648.0889388272	449188.4642088768
P00039	P00039	GENE39	GENE39	Description 39	167207.31744515215	34879213.11668664	19003108.980656035	35848962.61699949	2181992.1864960277	2323011.144166872	828358.0779757404	9282699.209278017
P00040	P00040	GENE40	GENE40	Description 40	63688923.81228036	108900.73097998707	231927.42047899432	4583199.383942989	1230136.1883305865	527372.2138829355	132625.51589308394	49314920.68253414
P00041	P00041	GENE41	GENE41	Description 41	951676.168178068	35161969.760402605	881341.4427617791	29782594.07834002	617306.3789452298	1145045.5247952745	1468585.7513302008	1958973.0834582062
P00042	P00042	GENE42	GENE42	Description 42	5577315.4599244725	1095851.0702078415	7970114.3064392265	5436011.393834216	1369552.0347045292	5494170.240209757	40909114.66927108	8354662.487136283
P00043	P00043	GENE43	GENE43	Description 43	6177251.094880707	2336988.6072915015	1766320.6473009996	3458358.8521515536	17200020.260593195	1559773.7884456664	2811639.9526186204	2355574.173081915
P00044	P00044	GENE44	GENE44	Description 44	10252845.982507799	40877734.66764587	6003047.095092234	1840151.9117342737	18522772.262913764	707547.5598120128	2108254.52993793	2093856.9883076109
P00045	P00045	GENE45	GENE45	Description 45	8189540.27748831	2128086.0409780806	9485009.357107336	5127730.67204975	5671717.547965301	2305986.8924544407	16850888.34995846	3336455.4001629674
P00046	P00046	GENE46	GENE46	Description 46	878362.092872138	2581510.430115418	16069467.111258354	13078129.107880509	9041816.979046805	2679349.9334239233	1569923.6816969041	2686929.6629292127
P00047	P00047	GENE47	GENE47	Description 47	732736.9744051328	9822209.842361933	8435475.202748045	356904973.70033556	697252.844348289	2873012.264403016	4047995.05969831	4566710.371563706
P00048	P00048	GENE48	GENE48	Description 48	4892903.841569474	8186302.5306932125	13137186.460233252	6754147.332798722	4338639.335591528	24263616.812252156	39858094.41666191	13537481.82811824
P00049	P00049	GENE49	GENE49	Description 49	20938264.231197204	587110.9209812607	3853265.0967132403	66294957.38601637	9184063.495940581	630225.0906358615	16785470.34949431	3393408.056970528
P00050	P00050	GENE50	GENE50	Description 50	173364.00952534724	10765318.433070607	7483346.4192210175	5433337.170057776	3935293.36485114	15076000.98533709	13016560.082309164	7015008.066294309
P00051	P00051	GENE51	GENE51	Description 51	71120265.5858924	4055218.388042245	1702325.9768597616	12724763.127406484	1095434.2231629535	507846.469561917	5176769.160535477	6617316.957972464
P00052	P00052	GENE52	GENE52	Description 52	23010102.357148226	4862007.82929516	1818052.104203488	855073.1960523393	5761663.400807105	2912532.3795037908	909652.458388588	5041222.209760538
P00053	P00053	GENE53	GENE53	Description 53	25570431.7584086	360121.57582021586	19968816.39598899	9673371.838303143	3079661.4481203696	15998177.098478526	5760873.868273373	7352969.726778259
P00054	P00054	GENE54	GENE54	Description 54	2120826.632156115	2645046.2463588757	4941303.838021401	676819.7110045629	480367.64166802034	1401728.2299928193	9341614.676273141	6241830.268864444
P00055	P00055	GENE55	GENE55	Description 55	30232353.91643241	11149269.209361527	3040653.330365854	10720469.000391344	3311278.4834304624	5426826.41604649	11072900.712607728	25263921.507025287
P00056	P00056	GENE56	GENE56	Description 56	1620803.3064753665	6979715.479810512	19344571.493514393	5973266.454786658	4026052.9633649103	2013277.5858003588	7591397.453829844	1913153.9161244975
P00057	P00057	GENE57	GENE57	Description 57	14946507.090837529	2478230.348961099	1845030.3204455427	825855.8348797663	2356501.689530622	8660241.237833267	4690393.402142329	1436781.3963452699
P00058	P00058	GENE58	GENE58	Description 58	185970.73489573458	809307.6447660895	154601137.42982206	7252981.947408164	3601607.139952673	9718473.402195845	2125720.936663316	1546587.1481890862
P00059	P00059	GENE59	GENE59	Description 59	129068784.28243642	4974836.392364403	11922396.288527614	4124849.6280494635	3850648.5260502766	14466119.052687619	1018433.8601734113	3841064.3735635206
P00060	P00060	GENE60	GENE60	Description 60	286348470.76127326	23838130.608710416	1134463.123318754	692184.2719479398	709518.5758308452	2336004.9356098645	1660285.1348999895	4484664.915195962
P00061	P00061	GENE61	GENE61	Description 61	1865373.824816985	433830.2651489445	8029254.350733494	67267.57160639866	110908.61900549346	1066217.8196471364	1842433.778401968	3801863.627028104
P00062	P00062	GENE62	GENE62	Description 62	3831939.1964701987	2383639.6579251816	4709971.744614054	12300672.486477796	7655592.193945943	16937336.91595802	642443.2532494718	2148122.464181697
P00063	P00063	GENE63	GENE63	Description 63	1594061.863093746	1684423.7799950764	7977993.515388146	1734773.1128434613	71344960.74618664	335220.15493232844	2993804.5134882256	3061485.0637282734
P00064	P00064	GENE64	GENE64	Description 64	7513686.5011256095	4601112.274891967	13862447.903244913	1173214.2171187312	68150774.75079572	5423315.324520198	233518.72881285028	26993965.514521513
P00065	P00065	GENE65	GENE65	Description 65	1628957.9991652311	20969329.623436995	3388690.79685708	259504.32046899045	2470554.7541947165	11666825.248461869	3537753.120072817	2428759.2897276827
P00066	P00066	GENE66	GENE66	Description 66	6500296.723364435	5243162.234660586	28218636.074570715	6238099.457532996	3194908.406125805	828131.296334947	636905.7839483789	660025.8300695026
P00067	P00067	GENE67	GENE67	Description 67	3214487.6559425583	4278532.777642635	1546839.5492473952	3997961.3083799686	10060639.964485845	156601633.81432706	2907913.782584645	7180583.627396777
P00068	P00068	GENE68	GENE68	Description 68	45199004.32142687	3782515.033378971	51434624.74933544	1873633.280632436	8633183.045416288	4220966.530589232	1908863.783840017	25052951.65626973
P00069	P00069	GENE69	GENE69	Description 69	11361079.722266622	1894306.1875973307	1635073.5425532553	10031533.77628262	1337734.5076877251	16346979.711090872	7047538.175046834	3370575.161003415
P00070	P00070	GENE70	GENE70	Description 70	267940.9536141143	77163708.06417233	86042662.46937308	1443783.5551341323	10072479.706204088	973221.6313477207	82825283.77625577	559500.7574840963
P00071	P00071	GENE71	GENE71	Description 71	8470806.087980915	21798281.058376957	408389.18448345404	1826587.8897663136	4283114.791495661	4399197.461863699	3659798.9095618976	35695990.07866067
P00072	P00072	GENE72	GENE72	Description 72	1279892.8030083145	8457249.645253818	5282898.41899971	18288672.672835343	1528258.9620117869	14473290.242062297	4302934.057326616	548995.3836861363
P00073	P00073	GENE73	GENE73	Description 73	1779104.675382516	82899419.6783462	442828.299444379	2273327.3525982704	2068207.1927682816	6866723.771774596	11623390.402286945	7701842.465604819
P00074	P00074	GENE74	GENE74	Description 74	7352557.6415187195	4910462.612611114	3913816.241547235	3143488.876112804	9628898.074440733	16940643.411043245	22484891.853933353	4201884.749328516
P00075	P00075	GENE75	GENE75	Description 75	18023741.352045927	5933335.129228191	22280941.572259557	925553.289066693	12500584.162700048	552289.1139957111	15981337.385420395	17128236.765820432
P00076	P00076	GENE76	GENE76	Description 76	6934234.0290176235	9417431.55545527	2690549.0173909706	10083470.463604521	7720199.905283488	29756009.870038066	12004739.473953858	2755986.956474512
P00077	P00077	GENE77	GENE77	Description 77	2600448.3681047536	3447849.155327228	15528871.332598312	4347151.038918022	2053445.030475635	3738337.680977915	1207416.1370337883	645566.1224064861
P00078	P00078	GENE78	GENE78	Description 78	1380301.627236839	13860763.20442727	2550592.6892784364	16986313.860903826	2479695.8924389123	1757429.5699761135	1031265.7845558095	794081.8940926814
P00079	P00079	GENE79	GENE79	Description 79	8637968.402889049	4133669.5197730632	3808431.3953288565	19176761.106582556	2001048.4987607547	9079772.246414082	44855550.48561315	1029279.0691668295
P00080	P00080	GENE80	GENE80	Description 80	1098996.7497408062	3106399.873062498	2447425.229615333	46040817.20925934	4786587.149470264	9425180.2217212	13753738.642241832	1009284.5609084601
P00081	P00081	GENE81	GENE81	Description 81	915629.5447712454	1796016.1856155067	5781945.893836021	10920018.529070424	4830844.52302006	1572406.483881392	5619957.38762604	594015.6450580307
P00082	P00082	GENE82	GENE82	Description 82	4785453.5533943055	18547916.77748861	30023091.62646308	2770273.256011346	2878370.4703739122	3167307.2153369677	13128948.06864343	5238858.982675334
P00083	P00083	GENE83	GENE83	Description 83	2084764.1293985876	895033.8731523432	6544469.552208542	12145773.259852607	1124586.996217355	5205601.12510213	36214123.43570679	5368611.0541322725
P00084	P00084	GENE84	GENE84	Description 84	1904510.352234056	5053024.204736254	8561060.42805313	1579745.5277917632	1622703.5502747523	1672072.3711890846	7220106.395832523	716970.2231916687
P00085	P00085	GENE85	GENE85	Description 85	11990596.935132863	37292892.91202009	35635185.237337545	5133171.060767536	511442.0568178677	4282414.697588433	8170978.015011039	1188948.2868093348
P00086	P00086	GENE86	GENE86	Description 86	5668282.154713214	2431107.0478676097	70152563.07381819	1240673.656917281	875699.5318214009	3245866.9314890024	7021587.59065555	18513520.345352013
P00087	P00087	GENE87	GENE87	Description 87	503881.16274408565	955987.1453802977	11498376.48528634	1717160.9575059079	4576099.833980863	12693349.574058136	904235.5041984925	2493283.506902898
P00088	P00088	GENE88	GENE88	Description 88	7728412.524458418	1565478.9126900763	5653544.193771611	3024936.024471666	37039216.24174637	590835.2404144765	162803.11608694476	29529128.342653204
P00089	P00089	GENE89	GENE89	Description 89	22144546.913567755	25350656.02519979	15379510.6217187	227831.27608587875	2213195.121921512	4029990.05706393	692787.3108222265	2028048.1183691937
P00090	P00090	GENE90	GENE90	Description 90	501983.57872190536	4639463.419467859	3553349.9924347107	1869971.8464028048	3806558.419841853	1082798.2005636992	3193717.3416648116	12305577.759167006
P00091	P00091	GENE91	GENE91	Description 91	3780270.2890268164	5945227.228286012	6274729.638025551	11231465.990825262	368377.8573003837	2598717.2458972787	885277.6131239389	8034638.4718638575
P00092	P00092	GENE92	GENE92	Description 92	13236607.9817021	2136918.5125345327	10849206.86006328	1146733.588002588	56569193.21265751	20433703.34029386	1462979.7003624593	1951087.1052294748
P00093	P00093	GENE93	GENE93	Description 93	1232196.6638103505	202619.89509105313	2061455.916594594	21183338.467622716	1616680.0561094452	3013894.4646797334	8819783.014027573	7474868.856429732
P00094	P00094	GENE94	GENE94	Description 94	18221363.348212555	792503.8271263698	560406.8981617291	1960474.409416066	3178114.68302412	12137868.364211665	969153.7233769348	12486690.30177602
P00095	P00095	GENE95	GENE95	Description 95	944732.5089159184	7104075.158855603	247439.55832681336	2331721.1592687303	1719586.1258788698	593959.2606498542	921131.3841970343	479295.62446216936
P00096	P00096	GENE96	GENE96	Description 96	37782241.00032435	2474264.4946476817	5157902.197013227	15042008.072056336	11382241.267582761	15938924.699014695	2828951.94103545	17242490.141879477
P00097	P00097	GENE97	GENE97	Description 97	2764680.348231285	1759127.238457454	2039465.38171108	169993398.72765014	17216011.74768078	2575192.7816449255	77268578.00883676	7259469.288028503
P00098	P00098	GENE98	GENE98	Description 98	3591919.758999575	3312250.4043778377	6688234.714536068	9589138.708067948	6933161.064573928	68234037.7622696	8005955.3854197	11849634.069592783
P00099	P00099	GENE99	GENE99	Description 99	4308537.315144343	18370622.657041173	38240515.46571108	4595402.311571989	2165332.563975882	866377.0439658732	17374645.096953325	733087.0212168952
P00100	P00100	GENE100	GENE100	Description 100	9849848.783695757	1256589.3612736182	20473266.994080465	9349146.946742779	1637408.4565861726	1266281.075439682	5986178.686481512	2352240.193639092
P00101	P00101	GENE101	GENE101	Description 101	136049395.09317362	363178.0983071898	1899019.0580072803	1386399.3518568007	4281121.36601223	13694517.162540387	2871957.449093112	2662721.475915794
P00102	P00102	GENE102	GENE102	Description 102	700208.5270622981	8383067.850347029	240124.60562555707	856727.1052999651	8533495.674281623	1355635.893163268	9582036.432426047	3487904.9872406647
P00103	P00103	GENE103	GENE103	Description 103	19537436.338833667	5609528.070465665	508794.70184635656	2829904.9588441337	42768926.73643086	862237.0585356519	7619946.946588389	7422505.679502789
P00104	P00104	GENE104	GENE104	Description 104	4773528.387475517	334971.5193656227	3207416.571089	14202471.694321403	19563860.264100507	2256715.9744531405	6308956.916042393	382313.0930644673
P00105	P00105	GENE105	GENE105	Description 105	29152751.120212395	24834696.881355837	12219763.777732244	246526.94919362044	2739452.758732959	24250186.46839869	153039848.8625275	7592673.952230487
P00106	P00106	GENE106	GENE106	Description 106	1261540.1697496248	1418685.4101475303	140185.6872808488	5533631.545001351	1344314.573724976	18052433.65436742	367842.43049585103	1719007.527537432
P00107	P00107	GENE107	GENE107	Description 107	28411792.64224345	1474269.6750330816	2302590.4409881607	2726452.450219885	3125332.574370124	1157086.1133264347	2996756.3606523117	762799.0929834851
P00108	P00108	GENE108	GENE108	Description 108	18935361.790668763	2579830.136552874	2573165.481553958	3581652.931760132	3824126.7474076077	99195153.5731064	659301.732575894	1188755.3082013703
P00109	P00109	GENE109	GENE109	Description 109	9637008.685860962	8277222.859672993	1212365.8631922875	3822171.4849729734	12833789.091325942	2497819.7876897226	13530998.575135846	2153960.7059266907
P00110	P00110	GENE110	GENE110	Description 110	3133006.229240948	523133.48315529496	10688336.392573923	2558965.3345409054	344391.6966186154	1588784.2495930826	14633371.691953799	13073157.472942986
P00111	P00111	GENE111	GENE111	Description 111	8187663.247028845	1964592.358926575	5964902.55472031	2187866.037622886	1752870.0267801092	832300.2877996172	518139.1429813881	6452935.2998050945
P00112	P00112	GENE112	GENE112	Description 112	218596.7454323083	16348813.253133243	15473971.286239352	14465203.964007962	2719945.368043241	6119041.5780861275	11524660.831189936	32053871.256361373
P00113	P00113	GENE113	GENE113	Description 113	4587267.236087595	994928.0075715835	2204463.312341545	1068817.383501619	5416812.485769615	2356784.1563682696	3075288.860289937	10218380.11388054
P00114	P00114	GENE114	GENE114	Description 114	2265866.4855254907	250137185.72286063	5074727.860754337	4839384.559112195	1180431634.8234324	5503404.90243138	6784463.390948282	6886718.4847181365
P00115	P00115	GENE115	GENE115	Description 115	4938199.866160661	8746212.732960925	3897508.273848198	7583611.996278644	1421870.9303740591	12702205.86376701	910345.6569231721	806670.8972189722
P00116	P00116	GENE116	GENE116	Description 116	54363656.48023528	15866794.768351251	2384120.4914714866	100545220.9696641	1830562.247288142	12600611.589204727	1551288.0715581435	19155232.69110444
P00117	P00117	GENE117	GENE117	Description 117	13488608.169700144	24744546.50670076	1429420.7149441447	1744711.373667096	11801177.737316014	398159.2192033481	789191.8778349224	12736945.505102009
P00118	P00118	GENE118	GENE118	Description 118	1619182.7742538191	30583044.183934703	9677744.588146368	1815893.2974577383	940003.016946612	4353210.466742992	3394446.4516849834	5831347.781041618
P00119	P00119	GENE119	GENE119	Description 119	461262.05580066034	7255697.873212613	6824870.81085232	5751246.741832538	4478287.096718276	360500.13534953725	2326696.4322599424	2912042.7100104033
P00120	P00120	GENE120	GENE120	Description 120	901680.6785125936	9060055.963775845	6876162.940755468	1330122.5430012497	9292413.560735142	1330878.9999164338	2497809.887167522	2668888.298658443
P00121	P00121	GENE121	GENE121	Description 121	7787192.264144547	3678725.7736303043	40251069.51786675	56164204.99621604	2025258.947542286	7157988.427826662	336004.3443619373	1683205.9263779293
P00122	P00122	GENE122	GENE122	Description 122	3084030.9949967237	912097.810758413	20310045.821036838	28861912.273998175	12668803.68716762	10709631.399684342	1359194.698640277	24131853.223932203
P00123	P00123	GENE123	GENE123	Description 123	2887470.2960093375	36534813.08280519	13924973.6682995	7014474.736974765	3550590.4807419833	24047594.2310945	789547.2953076992	27822888.428271767
P00124	P00124	GENE124	GENE124	Description 124	1308301.9997651195	8768697.04186267	32670494.91587719	17524159.183183707	495552.17175536987	13464440.987611616	3409667.4354106854	1895941.3834971325
P00125	P00125	GENE125	GENE125	Description 125	9295546.548746902	1845404.5931467302	3269581.522763032	37113650.53674263	4597762.039297892	3755156.3888497585	7693610.277170509	13318525.69226525
P00126	P00126	GENE126	GENE126	Description 126	682367.1825321257	3001000.262939482	3754492.8864747253	10816289.105220955	3217073.8851972846	1809434.7237330708	3010301.733847771	206500.92291439185
P00127	P00127	GENE127	GENE127	Description 127	1576175.9608159221	14405298.253937	22553112.729444306	3344153.8712564865	82126.29851443128	15766018.156724172	5998190.90862051	543515.5328750887
P00128	P00128	GENE128	GENE128	Description 128	2004793.8551594084	30382922.620215647	2375610.8396458975	2782688.4316347544	7039349.295832693	1233001.258399979	4315325.97859584	2466717.443142532
P00129	P00129	GENE129	GENE129	Description 129	1077804.9833190525	6157366.462199465	1861265.4162790054	14883204.982575359	271462.6728207806	779046.1044788166	4546223.389631573	961017.0298752495
P00130	P00130	GENE130	GENE130	Description 130	5838572.073858576	26135343.925297678	10137431.864444444	20647917.350780398	24469398.153039925	5621409.434039786	4122784.4503078014	46516986.23744615
P00131	P00131	GENE131	GENE131	Description 131	234419.68134612363	4867051.964201951	6697894.832539011	1943494.4666223605	1479823.8240913504	1098277.6349851121	2071383.8662798428	6809392.670310173
P00132	P00132	GENE132	GENE132	Description 132	12641762.759787712	693088.0354220538	36614464.73425778	29816335.794109557	388128.24062005116	1617681.434192904	1894026.058760121	2167239.527881485
P00133	P00133	GENE133	GENE133	Description 133	4190390.614397305	18666701.331673365	25416649.19250311	3046938.6536638876	21802405.847828332	3173382.8916587965	2132923.5863687587	21527809.547879457
P00134	P00134	GENE134	GENE134	Description 134	758974.644989156	2572053.056649107	1925860.56522564	1036520.3346231574	9048705.898107126	2850734.5093298955	11303718.556194182	471045.5024116258
P00135	P00135	GENE135	GENE135	Description 135	389822.5971364126	2229960.1953757335	2520578.722446041	2468777.7208259436	3700346.750228603	1507403.1812095128	7308535.6434515165	13503484.316511108
P00136	P00136	GENE136	GENE136	Description 136	3053687.0973236226	5890248.694910989	5372300.223873036	93917919.8539282	5833599.953353309	2240990.844367868	12342791.22746553	2138284.7659112355
P00137	P00137	GENE137	GENE137	Description 137	1887427.6463753304	8224913.02733105	612345.2493395508	1246183.9463936805	2616053.1633556867	3834451.613714648	21619035.41508639	4276551.478381323
P00138	P00138	GENE138	GENE138	Description 138	28015644.30364328	28217706.139522266	306335.8056227113	4754557.456596065	2626290.699544097	3568980.6671989546	13083977.55955527	1626128.4424480349
P00139	P00139	GENE139	GENE139	Description 139	7077916.5872885855	8541056.719739322	1761041.9675819932	2095255.247717909	1208581.7589292633	14394801.746282876	4681572.545251321	4615925.465439741
P00140	P00140	GENE140	GENE140	Description 140	459561.5997515073	5751177.075839977	7379994.01304298	706348.2009690335	1174318.1537974495	1934991.062868977	10350136.244984617	2458152.340292677
P00141	P00141	GENE141	GENE141	Description 141	4139920.3784034257	383008.7713185157	25925906.9598618	1930789.8115565905	137604.5249280862	1110625.1323338663	1031273.5183624118	1884613.7215568481
P00142	P00142	GENE142	GENE142	Description 142	3611583.75858657	25431907.7995358	35573781.76621228	11834591.889637021	20292600.182499845	4226352.118948223	1964191.5070055241	722926.3974326
P00143	P00143	GENE143	GENE143	Description 143	1506864.5934878234	800702.0327350738	3739348.139347386	1712245.7791906507	13570878.717363277	10853003.910884839	1487206.1999325668	3638809.280600489
P00144	P00144	GENE144	GENE144	Description 144	5022629.410228679	15017021.65174785	1098447.8529781583	1289376.5336721465	28287342.430145185	108977361.20842403	1908898.967435761	1886559.9777684999
P00145	P00145	GENE145	GENE145	Description 145	1116052.2540207452	12187986.59930033	744302.5470275864	787172.6989507101	41001.923437550264	3981432.6131609613	281772.6954792352	4134135.1169777326
P00146	P00146	GENE146	GENE146	Description 146	761582.7291536516	2652094.1160353026	39819011.02395525	525120.3095282393	10469473.683758292	4023030.6816520793	1296811.217611438	6018528.999222122
P00147	P00147	GENE147	GENE147	Description 147	1749896.9367094964	1177107.564325792	1779873.368173731	3982514.4875634746	42041541.76233254	1347326.0367181657	7010560.530525861	3658136.8799891393
P00148	P00148	GENE148	GENE148	Description 148	1041310.690786959	1538541.136880109	13579269.23137783	881699.0870109674	28374974.551940903	714518.1518695995	1706216.0023017025	18316955.68970625
P00149	P00149	GENE149	GENE149	Description 149	1676998.1275645136	11309102.870977197	14523880.973279197	4815750.997397532	3323120.786005336	8863327.86236477	2057453.819242924	323142.29938692774
P00150	P00150	GENE150	GENE150	Description 150	26418027.1345647	181944.2632095142	2157394.9133913843	10457181.06696994	45998387.838081196	20592411.3137016	2347059.812634354	3481321.665525069
