ProteinID	GeneSymbol	Description	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12	S13	S14	S15	S16
P00016	GENE16	Protein 16	28785863.10296167	17527559.514060337	8855197.483987018	16305155.791068919	1244481.3359745126	26583723.934144497	24306435.800133415	6947921.875931511	10836988.20272782	55086744.29333441	15874796.814216383	2946877.713958555	410602.47887096804	1137853.4998329207	359001.1942987442	5396502.23893019
P00017	GENE17	Protein 17	1995926.5334467352	28086713.49119936	31078115.519912474	385065.7775723645	4148171.288700948	21560403.563718162	4339857.661441573	19287911.198929135	38876039.77130147	4275232.993637376	5642724.469502267	18996153.93791864	541670.6724515696	37137629.46381329	9850813.803433983	300739514.81279546
P00018	GENE18	Protein 18	1650369.9864633316	12149007.51839851	11498478.165616114	7304868.173139582	6365100.598139303	8868379.10975288	71371297.59503552	9615837.92072619	1213284.5931442939	6975410.187900463	5937060.473262917	290368615.4525943	7847132.872063353	5811389.082025026	12169045.87571623	37416253.696897835
P00019	GENE19	Protein 19	903781.3668484099	13564461.392608851	16035933.318802638	34542594.31859721	4308333.897980531	4481263.382073443	28037556.320822153	23268861.655895963	8640312.404734585	74183157.86262114	3461867.6035635625	896672586.0351161	2361269.918908699	18267118.34097603	2029915.1444848836	26069883.214089602
P00020	GENE20	Protein 20	7170888.142106729	11116425.37175224	1010698.324468834	4169641.2711917483	2503682.335436742	14403412.6926337	22343024.644119095	105537851.90254419	4721906.527643156	28611185.33101583	3216334.6518045045	12453428.435528217	24815139.560625523	23902114.927015796	54228570.747672886	13247242.433857182
P00021	GENE21	Protein 21	3111073.46899368	27083816.243005287	2011093.2866299998	6215181.307431815	857816.4930312078	133097157.79772009	2599329.4429795397	5866282.320953038	477410.4171291669	86340118.58863057	2561256.7017314136	13277719.069124442	1888999.7762626568	13708314.308864133	932455.8317037426	36705473.34898671
P00022	GENE22	Protein 22	3922833.0191947166	4173802.3903353084	11605911.614747863	21525868.475614447	8414466.239018079	119541100.27757385	44648.004455564194	8253389.388063447	2225806.656972966	3887646.562060249	12176253.434979312	6029793.076405784	13287382.711656842	2076915.0872537782	12401313.672163902	25642098.41141056
P00023	GENE23	Protein 23	1654049.2683367992	4560639.576183877	19793785.732160233	8178818.930654243	2604891.6599902036	50119317.42113165	170421.40323957635	11806213.791048301	79859477.62599786	5666091.974124241	6515269.811673872	10199896.500785038	4816809.016718159	4419162.606026401	5343863.611282952	4586705.432794765
P00024	GENE24	Protein 24	16800509.598632183	4334256.047727964	9121889.608374357	5799910.1039169505	32852971.15190689	5086900.632973676	2111659.4472576375	91869454.90652937	654140.2048084603	10548197.24822875	1130788.2267055684	2304929.539497521	2020199.1175082552	15941333.882769661	16401284.430056188	6715993.535978574
P00025	GENE25	Protein 25	69412780.17914814	13016804.683561081	335202.821400797	41778367.14721215	4861504.855171322	42474806.55055758	1810083.7936874186	3832326.9451467902	13024558.882001692	11993367.024336848	1360398.3843686602	6787007.76976345	6655432.93075781	20625610.534895215	22595682.461525746	23705736.5407435
P00026	GENE26	Protein 26	2163974.0500181876	49625551.24298135	11238040.871986432	4980785.493040703	978437.4971147984	5559649.955617767	1847018.8171804324	13798554.452170571	10861540.242752062	8828194.326900683	2132816.269503245	20353201.1672979	3193125.963520613	337684.04659695545	11093320.611567736	6077135.224663832
P00027	GENE27	Protein 27	922558.567763815	4616717.7472807085	8628301.396525577	63205313.26868243	2044157.2642853074	25572415.577341434	6894592.094470193	5414802.264657782	4482799.860679233	24034724.812274378	473762.69038721744	20822909.435481507	1590722.556761972	1619046.37986709	2127128.2630631197	31400355.95794235
P00028	GENE28	Protein 28	11215012.190369705	2559478.349099145	290588.88116003375	17530679.95891905	41630064.426201604	6966141.133120315	30900667.913079277	836044.7052288603	3884234.7474398892	49352073.73571239	3177037.3058737814	986835.1819852437	749074.4777135269	3694743.4553956776	15404524.5639679	1838023.2878821115
P00029	GENE29	Protein 29	4797001.108142801	3212055.257542013	4001421.265874806	10113057.419463227	545022.874891325	11394429.394452395	290084.4009268099	45828586.34866025	8136896.81233088	5171014.332033111	1613488.2727201574	9500520.085140646	8171817.909104717	35565012.37489459	2624861.1852891673	2499974.3242923003
P00030	GENE30	Protein 30	10560077.896024246	11463505.862010231	23997437.802475292	54007682.784932874	15942691.13429603	11432436.648057908	1783526.8417484013	11632403.059421623	19344747.64134702	15105434.648399297	5283840.000325447	35811152.80165083	4730363.244407247	19502854.138469845	81018.37138925254	5271443.986565328
P00031	GENE31	Protein 31	1445924.3455197613	26576404.17219625	5642393.062779986	197468521.89115867	15136671.320269773	109233714.67755584	8676207.910279041	1964115.0065106498	56179909.84591918	1401434.2756613418	40727167.97148017	834642.6747458725	3976161.0335165774	7923176.5267981775	7675111.673071999	52865053.29974682
P00032	GENE32	Protein 32	1045975.1076847983	18197490.11874106	672042.1941670289	15564948.02413702	1299881.402816448	53908875.67743106	853349.4745851548	73120185.61186862	1953767.4313158675	5378383.513973021	16925428.50967739	12332404.242423078	313725.4202854584	16096623.32327319	7070779.238310539	8384358.741025319
P00033	GENE33	Protein 33	37829799.7542571	235859896.10448906	27107658.31437824	34018612.36188894	14563775.692243341	32244638.590578377	1467291.671562193	137795063.17839864	1457095.2608921577	4150265.6903328053	1576004.8084632196	641391.2004751095	6560558.306327203	22721517.487808295	910628.6408066464	16804263.8260208
P00034	GENE34	Protein 34	1064975.1187030873	3569250.6818476375	7197165.611283327	1057941.7320975203	2527736.4393608244	3348735.426812581	33463950.11103172	2659543.0406467654	12955275.316804592	23942796.38617029	4886264.266944759	15149633.535443617	5308078.624911254	1683037.1116176143	19139689.813311934	4728383.772499358
P00035	GENE35	Protein 35	12805177.39657425	19684105.78974841	8455898.076298654	9608155.070910947	1811234.1803532257	3149263.240939432	18528098.78923316	4304161.346995427	8532218.1029759	35608155.944067806	1820275.5347201594	16613761.804451222	5147719.362610659	61704244.68968055	4898416.788272846	19832091.98258897
P00036	GENE36	Protein 36	9277574.007947747	6110371.328152062	15173641.771555588	15302615.965279432	10881077.431540262	7780895.506041508	32105286.903615933	6074225.671077661	13620607.170626573	43566948.7111088	5282041.761771029	4419945.139662373	2964532.9295163457	4834477.748928887	77132501.60117017	1657908.7351696151
P00037	GENE37	Protein 37	3536901.0508055524	3384699.180579341	3243959.567343721	26003985.75071431	2886885.1192203537	3513894.962463964	13881958.984284593	2561673.6285905065	1062241.0095700547	58217038.181122966	1425076.632745438	10939124.958181527	635575.4643873685	3710633.257845052	5602452.115064782	92493430.94320801
P00038	GENE38	Protein 38	133790871.3145591	17069082.976203635	1137948.3275453066	4371505.75862119	73057832.09778658	22927415.275504164	8198292.82347272	19214964.14934098	4338660.876217343	2894810.925462749	2087264.819910569	4295449.706652108	307753.8104199413	663778.3947077207	2925510.1465232773	18873904.704155378
P00039	GENE39	Protein 39	4527303.430607696	28712499.216631867	4587112.723237671	20832555.26546588	1551496.8211259528	12654230.62113795	19941604.54276701	4459867.981814525	10160564.483691126	25892631.930353772	208302.95912879845	8521381.418943647	151153.3281028113	1566738.5488426492	21408043.324402902	93668108.09496522
P00040	GENE40	Protein 40	2345113.477372159	2464434.5923583596	6201994.343160219	6394982.926819727	2491544.871103269	1506095.8926593475	50845283.03806772	128074493.5381205	2672715.549091843	25322257.13610706	492978.2192064098	2041674.9053466509	656121.1170291211	1863696.803951155	792044.1317478619	6684671.814392817
P00041	GENE41	Protein 41	61150208.74452359	9147010.488043047	2261914.100227278	18236952.731494483	704950.5926780396	2373349.4109295085	3746129.061739987	2470603.2688982273	3498570.411928362	19585284.539380264	2731346.2573997923	11174212.87950562	1278039.232417633	3761227.0767705515	1160714.8539291872	21029919.318682354
P00042	GENE42	Protein 42	2666821.3170072194	55935668.941698104	24244146.58908773	17488846.14622209	7794247.70453004	1883518.767230728	8341546.511345287	32727035.330984097	4688419.273405882	18731647.21167745	926734.6306166856	13058029.618203029	2855507.539713782	4358820.310081555	2379584.7141917013	4888723.326799142
P00043	GENE43	Protein 43	2392459.904785888	18693793.243608713	2980040.960564023	1783243.8806652839	4864229.917594134	21516367.209706794	975860.71378216	6026384.46275176	22427185.776994795	9988776.471367788	3626438.4175579166	17204918.408990275	22561445.539695416	1198287.999499454	30431225.434508026	413270.5167641627
P00044	GENE44	Protein 44	44208765.560627155	80233086.26463382	5543836.141892054	16515127.206266025	2224748.101371726	8952525.264438938	1962091.1871287012	68566692.07095253	3734295.2111774124	5363749.173945122	1410699.6947083266	5956409.542926093	32640525.60570405	19508866.081208494	15867762.008575052	7137713.035385663
P00045	GENE45	Protein 45	80338.04280730445	50466682.43956106	1083147.9370036111	1564479.1115608914	12309263.827563683	15793473.675625056	872941.753381082	9710677.408839224	647821.685894816	43979957.23471065	41182438.89318225	6939874.745839665	1967938.211408183	10811867.8499313	30314280.807558347	21455572.55555533
P00046	GENE46	Protein 46	6719102.618905327	6658992.441309456	6920165.750453465	20232756.138863802	2628672.5754073057	35019629.03163074	101906485.35088971	58316236.04410409	4062639.760763391	17302552.070569098	6152803.026593008	8223960.989318624	620208.1123901553	11533376.47723058	2556358.962615512	8616005.513925605
P00047	GENE47	Protein 47	17993767.40819027	19584852.219644457	11102885.722913709	21893354.984453484	2167043.27621845	2269240.3077403787	763230.766750561	6076222.617633141	29011707.319364667	7644732.518837974	4140286.1776093687	15442621.973051662	540597.7793390299	22108444.336436726	13455346.684916722	1404359.9083164833
P00048	GENE48	Protein 48	10853265.880109861	21062644.699187554	977915.4733020863	3697112.064546694	13341840.998080585	13923010.521598175	997788.965899579	3908728.8032454476	24071026.24757198	4003830.3039374687	715427.5312731202	10245202.080081336	24392369.744064182	79271256.36448807	13733038.224851402	5620668.928410515
P00049	GENE49	Protein 49	2294853.325466457	3337063.884871255	2985203.1795536606	75473074.32885337	13787827.145518927	9840795.51790385	2957957.2032443956	4629694.402519971	9942717.184157917	23682766.97936647	123352.71311779523	22671454.72450387	1323844.9821667837	3881831.2964486964	4162263.0697071915	14329173.165021315
P00050	GENE50	Protein 50	9087961.00880627	9660455.151023047	1991449.484648383	50951309.639494844	2248497.0353444032	144798255.13144386	19167999.98618346	126943722.25942303	16544589.679308018	7003634.766618852	27543238.13804042	17180515.87555327	913157.5150608047	34563995.05266004	515899.6442755924	26286412.21013541
P00051	GENE51	Protein 51	5507115.030737737	9403154.60607379	8996179.811103355	23321529.590814818	146069372.91338897	3728939.623777001	4808115.837021091	3651368.2262789547	1339286.4975061677	97053536.35065456	7368514.09056152	8325632.922421144	80124175.92553706	2023418.573295952	604456.656482597	7814277.273733849
P00052	GENE52	Protein 52	8435597.83869028	14647636.654638942	687305.7322620711	1528809.8374274224	4319613.054687852	5610043.7916332055	998309.3181949202	54989595.45681362	1211850.172185359	6792897.591932592	1513516.895318487	2400792.3696175166	34370235.16152647	7451663.302341208	4536376.830007883	79382117.38731909
P00053	GENE53	Protein 53	14136631.850316249	3381165.576785041	10180069.883243559	44860026.03203026	4617627.594298746	2408377.5532927644	6919949.998769774	45775179.39716908	4856629.612054501	107887236.54281603	10244894.45924537	9287733.765375912	2547198.9567465717	12046771.26693933	348886.1011324095	56816573.919003524
P00054	GENE54	Protein 54	1057779.8775814488	2317283.426127053	1054843.5888530565	2469929.358522804	58667280.4182134	8545758.789796159	11026016.921029657	7959667.298470807	9950253.249094442	4810994.987419021	3294004.8360634595	10269102.479548369	13677780.50436224	62170642.774487995	4915746.287230114	9150957.286446095
P00055	GENE55	Protein 55	8355039.637104299	4476601.084539349	6835679.342557703	39073060.62282615	5943439.515773784	2591460.556619968	1568367.5429646103	15840552.790892236	6216228.104864986	32368650.833530165	8708504.565301368	3992801.516073251	2271614.094356433	108172895.17880769	1217514.2320353575	9897292.680691281
P00056	GENE56	Protein 56	2663626.113050048	19346535.356917504	480252.87960690004	125682493.44653225	2484492.863463114	5972231.732877979	1235480.182893876	13707766.941865431	20967646.105266653	4863800.86932492	4708301.019374458	13675726.608071638	2517096.3418588066	6209037.316405434	3904227.068125819	19537371.994184513
P00057	GENE57	Protein 57	17140041.01355268	25558431.615436956	1305455.8475803458	3846059.5030779564	1528207.1107760628	666938.8715327185	10439460.042752687	32242999.217208225	16459797.564809822	65349478.60528062	2085211.6023758973	134158535.43414254	1176400.326349175	19865429.961491678	1008831.3767210683	33198194.944027215
P00058	GENE58	Protein 58	5483077.356251111	16206650.483631488	7397190.118183887	1803747.927931683	6829879.713883378	17494919.631197512	88283.42267607864	218286713.91742554	37579432.18209007	2568288.3649631096	5621261.027878965	21631633.604503192	19058042.795558132	10962666.974459494	3388056.41918437	4994840.651286407
P00059	GENE59	Protein 59	6686996.714453582	21976610.525288377	1791721.7135152982	2675402.3781334586	21116856.96038613	12170319.295533279	5156270.999770887	32221973.156369813	2915234.772514316	1121948.2409729264	12580768.141728906	4360214.120993984	651237.8581305521	9832643.630888578	20118538.12545913	10088865.359652173
P00060	GENE60	Protein 60	5459615.554638017	58154966.11152876	1824865.3065057711	2063017.515827334	801909.056833023	15191993.133904217	4493852.196158862	22244790.119155634	2533648.9319008044	666268.2984172694	184106.14816130558	2773595.2035092977	1174188.8934626698	38623687.39596229	494718.98825997446	573633.9959668493
P00061	GENE61	Protein 61	1765998.5750621748	2536851.394354146	167794.4749803354	10193092.721329305	9015562.49573532	4653681.747531371	608731.9727753152	306106909.9142312	6662307.144060928	19618403.33102596	5228998.051599541	32353900.858294457	1345032.7653299451	10492762.848899098	7723918.175028973	5353224.076903451
P00062	GENE62	Protein 62	1236529.2416363657	5677149.413601868	343097.75138798915	9549138.230397727	46333566.90674429	3789918.1262809797	1282607.3000545872	23718763.29264606	1124854.1214592685	92674242.19199625	9752463.423624666	5396124.091950945	8914328.188566884	35254858.78067709	76482833.7104768	7897837.167728413
P00063	GENE63	Protein 63	3425592.8883794523	14256940.147783268	20513934.11692531	427634.11077252025	10082400.205631683	7489884.881103969	2172928.4319660612	6082044.014160646	972845.4986286164	5595315.790424316	93956260.38823816	21536267.52466694	1258437.5885188654	59810284.11118088	3338680.8067374444	7929217.501023757
P00064	GENE64	Protein 64	12425415.06580183	12518521.228745056	11295370.863600966	6735456.717806633	9181206.888096806	50930025.81404534	11375792.320264313	23278255.24023623	13151948.158536008	23126115.038296454	6297994.642792504	4204233.948453839	11147703.207506329	14289108.339270068	1485201.9628337296	37343320.11262341
P00065	GENE65	Protein 65	30421770.554531567	479294795.5019039	5579729.49814657	11395743.990300879	660171.7289259719	99521681.49299069	5338420.381232414	1803284.013979199	3631900.880754773	2390549.336546823	81221115.04586507	29502340.583638914	2801613.5813209927	2165042.42622159	18145732.64831859	95399000.39136788
P00066	GENE66	Protein 66	1190990.6591733138	3254458.0884927805	11006490.556151725	4719695.746201541	3967819.7508958825	27753597.30749769	1139027.1841956205	24613573.564609483	2583567.935416927	50005167.07539813	1599049.2685775089	298886242.5724086	8904271.407475509	13269197.578137191	11555879.363503953	6314634.77474714
P00067	GENE67	Protein 67	60113.2991161264	2819618.524394471	1657611.8776024305	2239674.8486685515	65274.20318379275	204923.2419015432	38085623.62962277	54674399.43734105	6419373.991409545	19012360.683636073	24861549.034534905	989426.5857230836	3809340.054034361	3181109.717299542	759976.5275868739	12216636.114312015
P00068	GENE68	Protein 68	8420618.43675191	26499324.427178703	9869314.442888023	1911539.464871567	116183885.05258557	877820.1314505839	6157404.116223328	30017054.172085647	217660.81304053386	27376174.410521604	7348763.276129002	59858290.01834613	70465354.38268636	6586032.817759899	109889198.2602487	91890649.3148207
P00069	GENE69	Protein 69	4280181.102191106	4747593.017428718	21651504.20993952	38877369.36390675	19101754.182250254	12756172.279416282	65090097.40721589	3894993.6647749175	5652503.260711082	30464143.969580777	5344785.825224852	8480444.638548525	11133810.808268417	110371499.63289098	1511450.300103802	7646011.017777467
P00070	GENE70	Protein 70	2193106.818083572	1239957.4200995872	3386574.2639722633	68617731.64775306	1957536.2034507468	7655873.173863427	78714574.5110588	3060709.8949846104	18990725.650142197	1068632.6253024512	1188938.088444782	1222921.7486854382	356305.032954622	2487074.3401039797	799860.8111521638	145236365.63992572
P00071	GENE71	Protein 71	7741680.428980905	24113441.61010467	14476821.223525565	1387671.7817427863	211607.44713969808	1933112.3738859503	4055990.664385616	2301344.296473846	6743511.091726069	4421636.364523316	3359482.726787179	18635229.2772405	1469922.0400774903	20816609.531068116	5163175.6607802445	85679235.27493195
P00072	GENE72	Protein 72	1582433.5154059043	17092093.10074706	2005301.4043327898	2730179.320435044	796577.1918302249	5947799.456320758	293306.1910937054	3041569.511899839	1322889.696152683	7812768.441603662	1444171.8038128233	5518715.725961872	5374325.512904599	1859084.6242835969	4482247.043785579	9015385.010641899
P00073	GENE73	Protein 73	9842761.067009548	9831170.249074642	644512.5054628171	9691306.25390655	6178443.466884888	57057753.74923643	1544407.88008213	17101719.509214148	1926528.5259596645	41154033.860287026	3753931.1260724533	12244746.74294389	3010054.3586972784	9430125.488125509	850233.677083237	3274669.0943601755
P00074	GENE74	Protein 74	1070311.4707400084	5090722.76346654	1677269.3583424077	235659989.85823512	24953634.687346697	172941117.09140083	1483827.2164273695	18896360.512046207	802364.625933554	6611372.826463244	2187503.418088466	23285560.76449834	2610779.293017441	22217110.290189296	4234552.838393353	47451575.68695158
P00075	GENE75	Protein 75	17749541.83282158	1669758.0199928728	831007.4914910356	69346632.3872286	6544279.767172898	4001619.427760981	5764928.186141192	17299632.317030344	57568627.14342408	15696029.429059627	566356.0898272208	51819102.96489631	1533972.17336264	4038480.6608532807	1836404.6474953487	6546810.424532071
P00076	GENE76	Protein 76	3289438.758938276	2338428.7901517823	32647636.35167757	4463410.4641683325	1724225.2657324895	2927156.0636561126	537137.4730119559	2219609.832076155	2030350.2185930249	11645929.56627353	12029573.803091241	1590761.882158581	502439.58547352406	188263480.09231266	9945200.27812463	2350919.6268785484
P00077	GENE77	Protein 77	1481019.3311087668	5241370.641606672	87457710.03970622	9076341.430030026	480760.66526838247	950725.6808781585	4667143.701931738	37419544.65289667	6602923.170662264	6647074.697939587	9685505.68782206	4034066.870848609	4917131.380779379	11948441.654053131	36297007.29035009	4288942.238006298
P00078	GENE78	Protein 78	1850516.2691736713	12157208.884047808	10068488.044450749	5098898.51987286	1942912.4796874598	63934601.665971376	8098390.905892472	1687486.0290687345	491803.52735913906	6557637.506617118	3307806.0063901604	25468720.024546426	11485490.897306861	12914711.61177648	7416713.995768788	19901805.551972944
P00079	GENE79	Protein 79	4200631.945749346	20389341.0527255	2654329.5061952192	2741667.740311388	609493.3547247599	3694504.2843133328	7521960.263973805	8952655.180318436	2979223.1834261687	9647892.698312636	8665281.36973013	10410079.930257898	1723541.1233711513	74044681.36857815	5727474.457551924	18196805.582929
P00080	GENE80	Protein 80	12135633.656765012	1956047.1935680308	961997.2980459922	5156927.965472229	66625369.97826813	4650950.684036861	24681781.648667246	69871389.93336062	4728155.986853042	26646626.04696063	8416387.780768264	10975453.801652996	4181231.8472265615	59023267.115606405	518225.61719845555	6089794.027695102
P00081	GENE81	Protein 81	1118407.613797073	13408443.689843781	13035668.56598889	1515573.134029888	1012242.3871668912	10098563.01123611	14317873.872975415	393232.2631230586	10095460.427198038	19731441.82665984	6294044.371280629	8441002.990774456	4648846.195543571	19934660.25665211	1267529.6579821345	1932283.0175116698
P00082	GENE82	Protein 82	424802.1905636283	9023680.383468654	49837310.02762787	1732251.3516342603	27133039.859895695	16111374.838323161	28534198.19509386	1238298.2030595967	5388313.3051952105	8349410.067488124	2799943.1451828484	857219.0804999435	3112534.4650220308	61104919.13790975	2750250.154213003	231614.37993339574
P00083	GENE83	Protein 83	1041768.0034306856	5624702.205609892	5929485.529598822	2103740.9039884517	1876146.1931409962	11162482.92311396	11354383.995844806	3279029.8231960936	110222485.2689868	1617499.1639357503	1102807.78695524	2424992.7344092294	205531.69424696275	3318110.466390649	505155.7551176816	10141973.75306377
P00084	GENE84	Protein 84	1267420.8394718766	8196383.8973874515	12748953.526896441	3619317.8220182965	8861780.77733259	251792.8797203318	1085531.7003127546	3754426.598695562	9201424.164693706	2968301.642215512	52272683.62825067	5803914.195788473	7336383.053719846	7250327.661682664	22932885.75630443	11195509.907836923
P00085	GENE85	Protein 85	3701665.541493473	1956447.4325099955	15197381.911544839	1382701.4393571126	944294.8264389401	3938108.3582440186	298334.0617961635	4878494.590202	19765449.762469143	4303774.321203207	1189380.8303005227	48667701.83461378	2027909.8438385343	4052185.3869746965	1890610.8826948465	2983409.0019573593
P00086	GENE86	Protein 86	30272499.728193797	598374.1311409655	5497213.597495235	10405304.149060711	6169095.2779451255	2968091.0632215664	2880404.788459742	18926884.58344862	425771.5241159296	904173.7334926976	992939.5889620434	5296677.0327840755	31957770.92167509	4328119.440828844	101419.93148449238	1090076.5170463303
P00087	GENE87	Protein 87	7548716.60746701	6509057.070392504	8791317.021380868	10099497.907671398	4710475.737155918	19477023.092126764	4087407.652405274	59911051.318694755	2210622.705195517	1859545.7599045376	5499978.874199723	31226816.589291897	9137750.214819519	1083508.437122316	4326662.484095375	1700971.834586388
P00088	GENE88	Protein 88	3165174.4171129605	2672318.1634101295	30846826.89784935	6664939.297853456	9373825.17694663	319505.23100606696	684447.7668137967	4625498.2554460345	3433179.553325899	20077031.667441696	7311142.692938131	13121892.167430589	2840583.319698526	4339155.3972619325	575636.1452446007	3879043.262400787
P00089	GENE89	Protein 89	5052417.1038781665	705941.2992806897	4198408.129671588	7433652.323760515	65105165.54368993	9717395.068654355	14621988.058755092	1107660.561788908	1356202.3830449667	10066755.503813144	142322032.79687437	2328039.985984029	42772383.45321707	2767559.8629987277	143155.8470380534	403476.2365811
P00090	GENE90	Protein 90	2111113.1770496536	936374.9038075297	7425412.589956245	2612839.6502681556	8229003.544450164	4347815.834108747	664093.6642781359	17085253.20859124	17699313.80200189	27041273.37242403	1437873.9977357595	5417736.853521047	4366815.145310404	623016.2909131651	17414544.12329011	1210479.8348281286
P00091	GENE91	Protein 91	1428623.926666294	28497287.00850849	10474285.13768804	3511380.011144935	11517464.87215986	5425478.410985135	3676580.6428690758	9027987.386448082	117015794.4008612	16605399.84695495	2369960.2258332935	6659378.156460066	484068.4213057776	3125744.581490543	7481982.64239572	12684248.241937855
P00092	GENE92	Protein 92	1066468.4450171096	52464463.01249366	2093168.7251436617	503132.3995244832	5841720.152659822	386852.04712098837	418932693.2167899	22802844.875216737	11252343.101760946	2926852.293165535	158047.34096704077	4579599.931818898	7004118.036180581	3183912.3434422147	2868272.66998524	1624532.273332016
P00093	GENE93	Protein 93	19158680.089967497	4714577.700306743	3324236.0517030377	53282017.73637688	12220361.626520233	4924968.4486854905	7992707.930017483	1878726.9533199465	2887770.6046855203	6424286.374553015	27960016.43094858	6020521.77155071	14313495.628232682	4474973.832283929	16415951.960171508	3870564.92247069
P00094	GENE94	Protein 94	43305887.18805763	30015010.896699477	1926545.1243105123	11321045.982868211	3545735.871573138	34369809.44679679	24859709.09996755	92449.61811493432	12265878.379285373	2112153.8425739915	658416.7660583177	221475.8136030254	2709936.898024048	7847312.519378095	25172046.127905708	1694080.9039533476
P00095	GENE95	Protein 95	6193752.039008667	659274.8026521234	1471301.5584445542	7167134.69814556	1439778.9481052132	21654200.9044165	5347985.43349563	6067809.757739179	9502875.554053145	1841857.1233198391	3644865.609612259	2689421.136908607	39284358.03816776	9189180.514787389	750125.8192840983	2545930.228092083
