ProteinID	GeneSymbol	true_log2fc_Treatment_vs_Control	true_de
P00188	GENE188	0	FALSE
P00189	GENE189	0	FALSE
P00190	GENE190	0	FALSE
P00191	GENE191	0	FALSE
P00192	GENE192	0	FALSE
P00193	GENE193	0	FALSE
P00194	GENE194	0	FALSE
P00195	GENE195	0	FALSE
P00196	GENE196	0	FALSE
P00197	GENE197	0	FALSE
P00198	GENE198	0	FALSE
P00199	GENE199	0	FALSE
P00200	GENE200	0	FALSE
P00201	GENE201	0	FALSE
P00202	GENE202	0	FALSE
P00203	GENE203	0	FALSE
P00204	GENE204	0	FALSE
P00205	GENE205	0	FALSE
P00206	GENE206	0	FALSE
P00207	GENE207	0	FALSE
P00208	GENE208	0	FALSE
P00209	GENE209	0	FALSE
P00210	GENE210	0	FALSE
P00211	GENE211	0	FALSE
P00212	GENE212	0	FALSE
P00213	GENE213	0	FALSE
P00214	GENE214	0	FALSE
P00215	GENE215	0	FALSE
P00216	GENE216	0	FALSE
P00217	GENE217	0	FALSE
P00218	GENE218	0	FALSE
P00219	GENE219	0	FALSE
P00220	GENE220	0	FALSE
P00221	GENE221	0	FALSE
P00222	GENE222	0	FALSE
P00223	GENE223	0	FALSE
P00224	GENE224	0	FALSE
P00225	GENE225	0	FALSE
P00226	GENE226	0	FALSE
P00227	GENE227	0	FALSE
P00228	GENE228	0	FALSE
P00229	GENE229	0	FALSE
P00230	GENE230	0	FALSE
P00231	GENE231	0	FALSE
P00232	GENE232	0	FALSE
P00233	GENE233	0	FALSE
P00234	GENE234	0	FALSE
P00235	GENE235	0	FALSE
P00236	GENE236	0	FALSE
P00237	GENE237	0	FALSE
P00238	GENE238	0	FALSE
P00239	GENE239	0	FALSE
P00240	GENE240	0	FALSE
P00241	GENE241	0	FALSE
P00242	GENE242	0	FALSE
P00243	GENE243	0	FALSE
P00244	GENE244	0	FALSE
P00245	GENE245	0	FALSE
P00246	GENE246	0	FALSE
P00247	GENE247	0	FALSE
P00248	GENE248	0	FALSE
P00249	GENE249	0	FALSE
P00250	GENE250	0	FALSE
P00251	GENE251	0	FALSE
P00252	GENE252	0	FALSE
P00253	GENE253	0	FALSE
P00254	GENE254	0	FALSE
P00255	GENE255	0	FALSE
P00256	GENE256	0	FALSE
P00257	GENE257	0	FALSE
P00258	GENE258	0	FALSE
P00259	GENE259	0	FALSE
P00260	GENE260	0	FALSE
P00261	GENE261	0	FALSE
P00262	GENE262	0	FALSE
P00263	GENE263	0	FALSE
P00264	GENE264	0	FALSE
P00265	GENE265	0	FALSE
P00266	GENE266	0	FALSE
P00267	GENE267	0	FALSE
P00268	GENE268	0	FALSE
P00269	GENE269	0	FALSE
P00270	GENE270	0	FALSE
P00271	GENE271	0	FALSE
P00272	GENE272	0	FALSE
P00273	GENE273	0	FALSE
P00274	GENE274	0	FALSE
P00275	GENE275	0	FALSE
P00276	GENE276	0	FALSE
P00277	GENE277	0	FALSE
P00278	GENE278	0	FALSE
P00279	GENE279	0	FALSE
P00280	GENE280	0	FALSE
P00281	GENE281	0	FALSE
P00282	GENE282	0	FALSE
P00283	GENE283	0	FALSE
P00284	GENE284	0	FALSE
P00285	GENE285	0	FALSE
P00286	GENE286	0	FALSE
P00287	GENE287	0	FALSE
P00288	GENE288	0	FALSE
P00289	GENE289	0	FALSE
P00290	GENE290	0	FALSE
P00291	GENE291	0	FALSE
P00292	GENE292	0	FALSE
P00293	GENE293	0	FALSE
P00294	GENE294	0	FALSE
P00295	GENE295	0	FALSE
P00296	GENE296	0	FALSE
P00297	GENE297	0	FALSE
P00298	GENE298	0	FALSE
P00299	GENE299	0	FALSE
P00300	GENE300	0	FALSE
