ProteinID	GeneSymbol	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10	S11	S12
P00064	GENE11	3344183.8023227374	5006133.011922093	43554076.33679494	2387375.681904093	19960215.947094746	3517893.6584996516	16941509.011955433	22247480.07628971	58146222.6101923	2748299.197821667	1383008.2258357103	2544660.9170940076
P00024	GENE12	758586.9631288847	862307.8505563182	6501098.8272062745	5141329.641259273	1015068.6047119027	6369495.882198601	74396401.378598	20860984.284971826	192103.4354640296	1505047.3836610229	1781881.9574842302	1371434.251305418
P00060	GENE13	5613815.264270394	1146709.4851384189	518468.8948337599	4803046.76475122	3990568.0087689627	634282.9877116943	2312186.4657758926	1464860.5027195544	438839.126846341	5501961.820718131	1225828.4091816063	14619771.620305374
P00067	GENE14	7768404.315170585	1307976.5746136734	1802241.5645365193	14279149.362825494	8400697.259502042	1909182.5090673505	876493.6632249614	35408417.884736836	4203741.462081088	266885.41987574456	10535476.064707855	7772933.805313804
P00017	GENE15	14651150.786416188	472304.2031619419	1050999.2676838166	1056824.7921305366	14503218.431731297	6670873.054147582	29022086.027191263	835544.0900307626	1932559.765649732	1263436.8293047915	663513.8074355371	2037187.525673005
P00092	GENE16	909366.0132638036	2311082.4414784866	2338081.394691501	19518305.70688562	4639276.1531675	2833244.7388206236	7258038.388685416	3363323.553700833	3933536.407455438	19293893.44674564	2291051.0988488644	18755883.34879843
P00009	GENE17	15367248.745766692	3736042.268586458	6738420.9687695885	628680.9038374992	12431624.326254494	722261.5154973833	4278999.702587518	1379326.3835609772	14577672.184301632	3995752.32698376	2300301.037877829	87714495.33149947
P00047	GENE18	2096759.7153325644	14865519.034290897	3209826.344214311	59506814.572361484	3904741.1706743133	10656327.133561995	6778104.433796419	9744546.090443134	49835428.78273524	2023614.4693668524	153757.2672546651	5261265.3920594985
P00094	GENE19	1021113.581057148	3187079.859123803	1720641.3039622367	7458702.086518687	9852117.683040833	7424131.702544416	20449390.734478462	2245163.915535189	1006552.5213039877	9210703.827802492	9319255.48328113	20571347.231835544
P00022	GENE20	1466785.4098620103	5264314.950146461	3486923.18097577	20577999.447370026	6165347.681413912	732278.0923594076	6432189.192889518	8300823.561717077	3834457.0774218105	8911030.450215157	1215480.8482977888	10354724.06053999
P00053	GENE21	13037717.842011657	10157057.357728278	9269069.693278523	12077533.852838999	7575984.147918457	8336047.821017933	41334048.45701402	660582.7995606872	1856363.2512464651	13309100.798219394	589641.2995653073	112424337.55217475
P00091	GENE22	1259385.9519519163	1444283.401636095	89599645.89379087	5673133.316637518	21813893.888674248	8843303.126487292	21019359.88617139	1698824.0462682615	11608637.580864072	22730499.4593877	11872370.094377195	2412583.1058992073
P00059	GENE23	550792.8996283347	8809159.51290348	4326090.852080258	3756092.118305372	5302726.101108528	138477123.8382221	1587823.0540838265	2198383.991887939	1952047.9345623646	6060406.830838215	2702953.171356803	63627729.129111074
P00082	GENE24	9370451.828588637	7463293.707508508	2189612.766914737	19835869.08054978	12932039.42470342	2360239.999432523	3108751.3396502645	6202812.6043428425	35552865.85601154	23801519.80950254	6821783.097652835	136041.38677968996
P00065	GENE25	78949691.01958442	13575749.440898221	590386.528148126	558476.1612217431	23580584.97040736	761138.5187422786	16391087.50141722	88914300.31829864	3269769.866307809	2312493.2344356677	682766.0086519312	8020198.957400704
P00004	GENE26	5541944.803102219	1122276.0896538794	2386951.5773524977	8960789.98745888	20984900.729718693	20474939.469186645	7786092.224565826	18420507.801669776	11279132.3303172	14352376.210144253	304190.8086581811	1923225.6445381474
P00068	GENE27	2570790.5710963146	27451320.46102977	5469706.578431389	160697526.7925812	2253083.6397575657	1034495.3907552251	2701333.822585525	29070155.372053657	4779839.585493599	4898286.33835924	14370333.490701197	1451837.0199175654
P00015	GENE28	933213.0535137226	10680860.506903972	1113458.1669316532	4851673.454030971	1472186.318888034	337979.61985761265	18910196.571895078	3047613.9839745695	36286734.63676366	23665818.89251887	2380857.9004815915	196377.9455763943
P00050	GENE29	25433953.371813197	14154190.69698041	4472664.168646558	50063766.772343054	3740934.8363700267	224673.42601886397	606681.7425997192	44677410.79567332	1514991.3870113445	11975419.274267985	19902127.870186534	4379430.617164039
P00018	GENE30	790560.4417499203	12220479.45166033	3214690.296099497	11361678.46122113	4116682.4670763533	5336544.139777209	3263643.0567965694	2380366.050605786	1756873.6123286616	2761049.394045982	1880570.8081445107	10447201.873287136
P00048	GENE31	9718418.590055343	227911.82257158373	980956.6467920054	5705535.477207752	1197352.3035503994	857472.1768173969	2065393.6049583817	4289651.3321100455	822205.8259214361	819470.6606041456	2701442.4977310314	12646824.464096002
P00002	GENE32	297780.7794496371	241847.38693859545	20830650.637034204	1606319.6775783997	1872167.2077718019	965329.5954189688	2049397.7078390068	1347922.9785573273	1636563.5214699672	5608817.485706225	25880699.021010723	3582079.9156354535
P00027	GENE33	8014949.372025403	1720536.104047383	33620661.96496816	7361638.818816657	1074483.5042666383	26463936.559764136	17513474.216584966	6551513.526461252	4252514.698885351	4567116.213674456	7856786.052757588	484157.10460549087
P00090	GENE34	3249692.3991904827	24075814.085407704	2433573.177765797	13939561.576159097	8477709.35418317	14834261.950738171	2028272.843521271	2215853.67926741	1308596.7102091878	1691323.2696895339	263222814.28853002	21000429.64484522
P00079	GENE35	17489304.605876163	1653102.7366233878	2414869.963176859	1740653.172879815	68837513.1771926	5594503.314215403	2646829.9685121225	17621701.173582725	1473126.5175955677	1300710.4172662953	2792461.8474018364	22581182.417799216
P00086	GENE36	1891337.2800088448	5880753.728585167	983772.5097067395	3973781.152141061	12699834.775096098	5075228.004443	19120679.718882006	4667829.943785265	16055681.84554409	6985607.441379325	27625885.45106627	2605126.4813992563
P00041	GENE37	11383384.438247971	3031066.5864265948	3551198.9485842925	191003.36879160855	2025100.5617080093	4008027.87844306	22764016.66801977	8221812.486511209	410223.1515253384	9819597.282249404	7935415.47936737	42874016.17417095
P00078	GENE38	311015.6405942238	2706673.829282115	798558.7362625196	1619145.6599407634	8126213.210690224	2757520.578669095	9722037.781757487	2279525.7502780757	9779572.146482857	11833959.744776621	5163581.191304091	544978.6366550337
P00062	GENE39	2627149.748844725	46326147.80079762	14802691.458051281	2827170.985820666	260179.75837902154	25787134.939554125	1177818.7141838297	3048413.638017212	750765.8011553522	4021406.6117686136	1887638.9131971828	722811.6109409523
P00026	GENE40	9263299.975134721	1747202.9815219939	10699606.34183462	56492411.90096428	946968.3649087287	6955597.269794627	52827822.95302232	11386124.708361723	37733008.866466835	11531023.921963723	7234454.082423267	469590.49281304557
P00097	GENE41	1122991.4332495064	32544889.694173448	2313417.427842314	1117158.4240325196	13771414.157246947	30918719.848376036	1473735.5178367833	59202572.26431793	7456356.575503701	249245.24707736913	416131.6083881097	6945286.599935695
P00042	GENE42	4971125.9202560065	5503946.653810505	4285145.827461132	3938615.118430632	918610.6047723872	590776.2589552018	3657635.8752643787	1503506.606715957	4908077.475476222	19820916.997274034	1803767.1365714467	25312011.755915176
P00046	GENE43	267334.91537433024	623331.3706282343	9086055.460452452	1279408.1958563123	46490034.586701885	7697570.722435987	1411687.8350383705	1773171.013610484	42821592.275065154	1253386.6034074856	8604515.894127147	6663496.173175975
P00052	GENE44	4655319.110745355	1479432.5441029998	1016611.9465061884	2637369.579739477	814065.7947804333	1179621.6151861395	4526169.647910338	55767527.67576034	22478677.843109243	4455145.047562239	7369797.539175219	3260632.272180956
P00012	GENE45	800996.8826880656	2163931.1693931897	844098.2111862833	436683.40137452504	25601564.41602573	11048721.940431269	1084327.1278719385	7241456.508535643	3877377.199199135	3554819.8897490064	296249.75178689056	3668758.7274711966
P00035	GENE46	8792708.921442268	18779570.421887893	33608093.68813385	3245672.12715222	5877461.300102137	354074.08851159085	28736081.927525576	3017967.810254959	1886191.562858377	11022238.957572531	597215.5459745621	1288571.5871431788
P00003	GENE47	5089166.710901478	934887.6996199677	1114327.1029634108	16435664.226098133	19171596.95618125	5252788.149392193	2017808.8200093897	1730617.1028672538	5457848.1570764845	697795.990595208	15280755.096326917	11996353.79007545
P00016	GENE48	8184185.634480808	12006483.197620893	2683118.3071607505	2295564.280286278	9222346.545100108	4832182.526725994	1258091.7934118828	538606.4219700476	10926747.753621401	9252052.181960689	2547334.537650225	7809553.393439669
P00045	GENE49	3141312.611392515	2803983.404760392	3437651.0584813724	1529704.0747396108	7347491.354685178	3776915.309539534	12878137.80779063	2651720.579124955	4964200.566151357	22589346.120256025	7100053.178554594	9637953.67832411
P00061	GENE50	19317823.693390515	9752097.367859047	9131139.709447144	16662998.777307631	695558.440557255	11120839.741786472	1804999.9970784732	13182537.94035259	4459406.612609341	3579683.699642633	2994265.549377906	71633472.7816989
P00054	GENE51	295003.52900684386	578429.1439887974	2553478.4416755917	2169447.7150276443	2778294.6587757776	15145978.018690046	20718005.41406847	10307311.403071497	29866530.852734637	1401524.5588464222	12364070.98591694	6665936.483855212
P00008	GENE52	7920641.117089705	1380012.0790816224	1248440.294282119	26406798.379391726	2314474.7098478507	3511185.6030080765	6941005.935148002	504903.6870566541	1957296.974963105	2047101.4269083769	3737839.295237268	2965547.052933523
P00084	GENE53	1419527.9359971473	5245951.136203739	37752538.21616394	1917671.281558443	37382865.17819099	1995887.0353433175	4076021.2319948734	4386444.578095933	2183903.242853562	308677.818254292	28537589.404081702	342477.7160922707
P00051	GENE54	1427511.8512590062	1264420.4978604156	1261699.8872672617	28144566.56590105	97399.19729292844	105448383.34475116	18957114.206046753	6093108.089862461	4309212.323892415	15391535.891525948	965115.5549457944	9326609.955326485
P00095	GENE55	13841317.607945185	1644305.3784599027	79554823.49235262	8143676.3973523285	15918033.767654724	4766628.883419681	886432.0100505464	165567.3820579398	1314891.3730354572	3087952.6337802964	4303410.946753553	4393427.810725633
P00055	GENE56	15619301.007134838	723921.3988618911	1987365.605995933	2040854.749301826	1525466.0281887075	27821749.800266337	1520903.620209623	8512286.236108758	23081333.66026322	3928483.234375781	26426900.105403848	1051497.01020217
P00093	GENE57	9250345.684422944	1589910.7608744672	431419.773830516	8461873.219464015	12309321.26305415	4493819.916514441	8326268.572889381	1625250.2300699053	135831.23752422165	5928848.306156503	1432600.0514842598	1410115.2624211665
P00028	GENE58	12296918.971707158	526169.2635287285	177123.95246026895	9895164.707199037	797578.7643730375	12252357.713353608	19309022.16548714	12108355.425628265	1153341.1526899652	9223814.474685043	13068540.960022282	684597.5511677766
P00001	GENE59	4590894.977190837	12840598.052694036	19949530.099546693	3722906.182953802	5759637.170750798	908364.1376574391	9272861.511292988	1665695.1951168247	10638855.769679524	1068093.7235113957	4684521.3384005325	1229437.1841786846
P00037	GENE60	20165454.3671271	5144143.942970909	18566243.54974881	10143187.89288037	10488225.8461481	112571690.37918214	2138004.4161566515	1113306.5751897004	31600778.922246117	4721665.245252567	3135544.2140193875	2764020.1552507724
P00075	GENE61	6045741.955586915	1941405.5090149033	2848661.29262665	7478693.555250128	5968154.914464275	4373126.608826314	5480840.638977417	9964282.997586966	6516169.48064821	737693.0308426071	6664836.220699881	3574091.0753417183
P00044	GENE62	4272967.351379991	2497182.0531933927	1437742.891878098	10818266.297438586	4233102.567583237	9537302.366690855	1210200.1392978143	1552753.8384059607	58550262.651690006	6920815.4492529435	3813183.860257848	424954.3148546256
P00005	GENE63	444346.30681938794	31005387.93616108	83605502.0210445	10547734.21597507	1052880.4934238265	11451709.849238575	5990538.457843312	21737594.567064878	334926.6488098843	2859339.5486537814	5305130.466252787	7204765.782410176
P00081	GENE64	613548.0438033483	728714.3226307807	13012185.12304338	4089749.939149669	11993302.988326658	720608.9125830056	1650480.070566973	2886502.910496263	10996843.681684997	1763530.6627455219	16032153.241882892	34100518.51890327
P00023	GENE65	8666727.133881195	7811642.132133827	5177121.897603839	2704861.027654965	1919067.551550425	5475679.351833951	1629916.3763116812	983797.2523727748	2770947.348193439	4638994.392998052	29354413.841928143	3762330.079575851
P00043	GENE66	4981342.197812241	1747127.0347992526	2556185.955912866	1671849.605316359	9497318.465111941	17208920.678246867	3237697.298382707	9138278.518947946	447841.7728640731	502172.7471419153	2467688.0822163294	52276.094273895724
P00014	GENE67	9838822.821897522	28366138.942656033	2755371.0649263593	9411010.539723879	267641.33237654343	2534974.287533345	851841.2153186953	4292735.939828409	5374155.553474338	1374105.9167816483	224149.1107777936	1776992.9288503067
P00100	GENE68	10181882.610742852	7417116.737036004	16410518.604568522	917909.7026887325	15256169.711534034	2989511.0963091743	5058925.894285704	633470.1374790048	1516046.3943380543	1409493.9035776248	12212003.811901208	253964.33786223398
P00020	GENE69	2578972.8429810563	1510534.0992110455	8548056.657926627	6043596.774008671	1463183.7888492425	4741606.809897123	3586925.795983944	25598533.81631935	1904526.0532304621	4416589.66132898	6567727.272536914	11846569.908054454
P00071	GENE70	6766757.158326563	2708420.820706423	14882806.304503394	12609385.825860135	922843.0211720484	301368.19555982505	32176683.13301574	2719723.401986147	7565450.923310798	538064.1935750088	11151811.480597038	2502065.6278306386
P00087	GENE71	1100408.0224513947	1498944.8748585642	1733907.1176906163	60617365.64185622	146731142.25113025	5220238.066898734	11529326.508404344	8880006.961247418	13493778.513662772	6401174.632707092	11591830.375533668	1287154.3321518833
P00085	GENE72	877245.9760840079	103252.6504016815	13235461.330542639	387161.79754369386	5119591.99269687	1650328.588911287	6118002.543893043	4092687.4391231374	31663916.573407575	3288837.6153882015	22964301.23188528	6408582.912050271
P00099	GENE73	677978.752312847	4149955.8553704936	280526.3765161056	955542.1633397685	2254417.806917764	6574619.603825255	3679830.908252241	480643.17558817606	12932872.104967022	757366.6586946079	1791581.3382094358	2706391.278947418
P00069	GENE74	2516673.3303249558	5761873.349158697	279241497.2376168	2874878.6732645566	13541602.372457124	5479519.811824538	2616063.7310383325	15492132.393199217	43854427.467177965	3217668.321122034	4090540.2673953385	4706245.573338627
P00039	GENE75	92638741.25732492	11384261.855981942	5202536.102744808	150265388.21328124	11571748.944151454	11541486.505720437	7916080.091988749	4993437.303340612	819065.0912814984	12325148.811276263	2955067.8826959846	1022362.762393188
P00073	GENE76	7938513.869081894	1070452.7607602694	2998421.2969582095	909888.5033052714	999909.751571863	439167.6000947086	795380.8431397983	27645171.776759114	9312704.269534469	54170895.96304279	5891972.675830916	387518.2454222302
P00077	GENE77	2369458.5594983427	525026.5785793526	11473950.92895497	1434072.270286659	9146065.092695845	3242642.986411191	45153204.23828957	30631171.37728683	3777699.3399818377	873390.0643528723	5491204.474818716	16401512.47801214
P00030	GENE78	5722880.733459888	329924.7728024164	515904.4096118723	7485669.199128517	5044463.09344072	10282994.835503815	767266.8428246769	512023.046531588	2266550.2438665573	25831326.511930604	3073402.45048367	2897297.0898881224
P00034	GENE79	3907235.776441814	685246.1566896982	844998.115710092	1097282.4729296034	647944.3411602494	1111844.0706769277	1450077.397644787	1130171.133356837	2632808.788152433	1056767.211038174	16856066.79162967	2017254.5408599211
P00011	GENE80	58586667.44027628	23985096.54307052	22247073.121026587	751655.7840351181	3535811.3473863383	557383.5424021956	18268283.88789804	17314260.789609727	3406955.715337275	1829463.8650090687	9000666.84434175	2138462.65914337
P00019	GENE81	3492967.8340828866	23736357.218426157	963978.1249187044	3234050.3453992736	586333.1824902354	1646349.102555632	76391313.73247798	2900562.1458041943	3043983.4431365207	1296480.4948759614	14663691.320727961	400726.5993377707
P00076	GENE82	3038413.3205703036	5760433.110120135	628936.799408743	1793962.810363533	27137151.19688567	1638240.6627346273	1591783.7782919554	3621600.376167118	3262723.1269687917	4418983.5749365585	60377897.01750162	921213.1542120228
P00080	GENE83	11660152.666812455	351063.9383787507	515080.6421086222	598884.1719747225	2470475.10406316	3719640.544814983	2968295.920013882	2840251.735914683	11022248.807357317	2811123.2843940766	4822432.800151951	14082852.573929625
P00021	GENE84	3538366.746684531	16332869.69472996	52832213.807905026	124728687.098399	1051797.9214187784	1874628.0641988022	41891011.809139594	1335013.4218721944	37391609.841792196	24215585.723742682	2697634.108996636	1368676.3852160992
P00049	GENE85	5706734.088233104	6159671.796061326	13940078.449561339	827227.7866203114	1542079.3127468703	4198478.895879689	6308201.261257241	7006959.393186739	3044033.799421674	65718991.22255089	6346141.773228849	1132997.3530778734
P00089	GENE86	17927137.70982117	5773667.482896537	4172994.9585692906	5172895.816610133	13393098.318342272	1772110.0850186802	14814959.219687631	45565674.54820087	1137095.254166082	7739397.008303002	11955698.942428628	4480996.142876779
P00036	GENE87	3801581.3481961433	20446984.981202967	1085771.5311634424	588583.0148501684	8532746.891189208	1976797.453043975	168038.3341385834	1801537.9224068979	1426905.055768301	1581067.9058657654	9908066.036596922	503999.93094005465
P00063	GENE88	3790741.757253105	5152971.093529329	1854894.4916770014	79036337.2735623	1957475.3121988256	1456974.8669654753	500634.0277018537	5103364.702152616	23184807.63988928	6116811.300813631	16702493.05323984	108921564.43334508
P00083	GENE89	2476104.634465442	63466890.758245006	7078969.993516125	6961228.43254151	4387346.669103917	4063713.4144106344	1957181.3218360182	1072518.5421230264	1091391.353944228	5324371.430276962	2845478.590333322	2313676.4090629565
P00088	GENE90	725145.9152058329	248957560.22242886	2770609.3978926875	5876919.759371268	4228817.512534149	17144400.22164007	43684664.1185039	1123174.532288815	1338113.082401848	1300992.551600589	2595948.2332756654	882719.4083170202
P00098	GENE91	2175725.5787615874	843878.0695715226	4599105.019724499	49987328.24839158	9123918.12248805	433966.1516652857	41124329.12970945	9763819.873454928	607433.1759016202	3153572.1734106666	1243131.8565342578	2761742.5184867955
P00029	GENE92	1018367.723100772	3640361.000530318	13777127.93102879	13712312.559205068	270479027.368181	6002816.799084242	5758787.30624473	14082818.575116685	16977250.946471717	169928.3583142659	5373952.663336064	469465.22570626705
P00025	GENE93	14358848.6939382	614209.0795054693	5392879.598750908	6567546.930389011	1597788.9561494363	1104233.2293800483	7605371.534968368	1295988.7720108295	2293085.746527499	1507587.0076438435	954142.0846306836	37980596.649389744
P00057	GENE94	355048.0235812111	2523515.016134192	27815067.910747092	34595278.49725969	25278780.722038347	4845385.063222152	2031571.0192015162	1724793.7537060792	2965534.8869155	8431828.63663676	22466736.892450552	12282132.600224636
P00070	GENE95	619034.727640013	7749699.269020358	1822237.3893359117	6032175.393716537	5771769.657609088	1035043.1914158	104478.95298844422	12320981.428106153	2018577.9029416302	2638308.8251070287	3280674.3413915904	774478.1365307586
P00074	GENE96	1391034.3933341163	3662656.365076257	4597551.7208230635	2313069.205455808	2698955.23521883	1972793.7408240295	8127965.111057205	2689890.2646696945	6505765.982062518	953755.0829944004	17314741.820745967	6475604.357571492
P00006	GENE97	3468521.5333801126	1713646.8012778636	71596367.0553592	3032724.933827522	9424524.895973247	419840.2611302197	715489.484241947	2003029.8921799783	2649741.377541546	1256272.8999619691	21616892.516347248	3527196.3059385964
P00007	GENE98	5042176.748088043	5083646.15952725	385531.62042112777	1516642.5720111341	1337887.2990583866	1297773.8394835596	3268395.963726891	5200064.441007426	1740370.0258339972	15351651.653755715	10569535.019589966	3624792.54683519
P00031	GENE99	15703902.063358191	9947852.766155876	5173554.877218366	22354797.869737495	2277279.0285741533	1384769.3418414965	666956928.7420006	3266895.166519757	3486647.674145027	12553474.973825559	55483922.88755281	5718049.190476387
P00066	GENE100	12390224.87791883	1480791.6589861687	503648.1400070908	54439362.93291239	629997.3793015782	2873352.3821370583	3671580.912241172	1678084.2900874987	2114946.8997039446	2181923.2110215775	9198943.691023495	2347933.7666032757
