ProteinID	GeneSymbol	Description	Before_P1	Before_P2	Before_P3	Before_P4	Before_P5	Before_P6	After_P1	After_P2	After_P3	After_P4	After_P5	After_P6
P00071	GENE71	Protein 71	5602764.004450937	7138647.222891233	8123412.697438652	919980.2204360346	3003787.650275873	1589721.8089915577	17696829.329922218	702970.3521825812	31425634.928096984	883761.4149200597	1563976.380749331	3391697.1196121057
P00072	GENE72	Protein 72	1966624.3158599918	7256889.648391801	4250363.983037235	7632833.150351135	1202614.2920509898	1478065.1173758537	2483678.406849314	47759856.54648121	4884392.985793725	164154103.20761487	52235653.59795648	22482558.39827404
P00073	GENE73	Protein 73	4920117.9917288115	613778.2252946326	20836689.809893806	8882800.86397486	1407458.7859981612	30672107.407359615	2071176.295366523	8467203.37016712	5074538.484521905	2809988.2715175576	3069010.2599118277	1338630.3736641994
P00074	GENE74	Protein 74	6819446.181350469	210710483.80826533	10650113.323104776	499748.84393402556	1280897.9605679703	1273843.3779938172	15494924.37825723	606062.7547058833	1406036.4981638386	54858388.86084649	9200359.658144005	43472389.88932126
P00075	GENE75	Protein 75	820328.7897587564	313802.83534688037	25886643.454837877	3241947.1176095353	5014400.893374171	8281041.412472024	1270085.3799737399	633148.406913866	3811514.6473533954	8971228.457369167	1602493.4207445355	8044532.012945118
P00076	GENE76	Protein 76	7275601.418715889	3547861.1791214584	2235583.1670839316	7436571.717731589	10758397.5041284	5421203.291043873	1488318.6571450792	784509.313706079	10113748.907576367	25355479.37634076	210582.02131549356	5728730.061624312
P00077	GENE77	Protein 77	1818599.9154502377	497597.4268434847	2849566.228382857	5238106.059794549	3144204.338272242	8013606.041622858	32616034.84229997	3332346.9849792547	2842512.73285275	18974295.614106968	1990337.8948184869	63447200.17899199
P00078	GENE78	Protein 78	5763537.520362984	222453.9225562493	1215241.5393403275	57009994.267309785	20212580.51837737	68409279.38500825	337306.51389311685	11983657.676446894	5205224.271142614	919849.0874284016	4300444.635744213	5046642.235144106
P00079	GENE79	Protein 79	302651.20008187275	21988928.66544037	11898627.578282773	12643784.998670366	2111163.7487211353	9789870.351450266	4690139.246642539	7485095.099131648	3126910.4590205327	50284870.852684185	2800746.8863814333	11109911.49095454
P00080	GENE80	Protein 80	1579038.817297073	1195556.6032639875	2673829.018465706	27917348.933814153	2257654.6924573574	15589129.9627867	2873319.594210252	775971.7532894296	5982316.070424572	16423116.286850024	20091276.879640866	776949.5794619403
P00081	GENE81	Protein 81	62683904.35695928	512349.956774358	113926.41023999837	48216070.39178779	1427512.3370451056	26839901.596946668	1866989.759581796	5871821.4463774	1136662.3365958305	4263926.826369217	1559740.4640953126	34834831.281155266
P00082	GENE82	Protein 82	4800885.310965182	3860606.5507672178	2918601.345896823	6577436.847256441	4569728.718142742	3730339.2294663703	24200002.564934954	14068575.156405773	34809872.415361255	15902196.722040359	2389968.7023597136	4741281.853571847
P00083	GENE83	Protein 83	3122170.859310487	428327.36424818943	8148941.702009073	90999289.23207071	478340.19705288287	16852899.315947715	1001599.9868105386	6747582.02834918	888734.5025012663	18587629.861754328	2681215.9601687286	2008598.6900634202
P00084	GENE84	Protein 84	1214188.147633927	2498714.4312171265	42228074.07086092	9210853.913777048	254247.66939180857	2160057.603262386	1431712.3824598852	21872102.05084016	3874386.271956352	21239573.4720666	6246463.630903765	988843.38040672
P00085	GENE85	Protein 85	6285815.505201993	1011841.5638706457	8608797.688989475	3630621.238896685	4113780.910357573	12910492.219734201	3096338.6698417617	5781511.048435785	792285.4190925696	533013.5255864694	812272.352758749	18712631.72854711
P00086	GENE86	Protein 86	12097983.265790224	2804410.038558396	6396098.257878144	38055924.33210703	3043747.1615737495	6767980.260531469	11238604.116477938	5936604.333589421	3746052.5623082924	56653728.57690564	182429.45484996698	6919277.160234527
P00087	GENE87	Protein 87	42653984.54938039	616312.6067800546	15753664.640023887	731781.5775884145	5078970.172373861	51757738.00614731	7711113.177523135	17586393.84274029	148662.7463982012	15179584.038024144	4045548.306869625	4867261.473745932
P00088	GENE88	Protein 88	1637741.116548027	4811787.7381315585	3495576.526220237	3661229.3843794293	9657560.188033115	2989611.3304707715	56020993.515376665	10560702.629910897	439598.31144385465	3834878.9291928313	4234507.652491658	143972895.0650009
P00089	GENE89	Protein 89	1959180.5209511004	776790.3608194786	7015896.125211869	6041055.921961449	2417724.075890441	9920625.469968779	5779049.671890023	1602605.9613114016	204838.24086402424	7690708.467083101	5405963.7668980975	1655721.4515205985
P00090	GENE90	Protein 90	695591.3694069465	2603608.8724974655	75368792.1948309	4876542.670045768	1235506.2049177506	4545296.033315633	6968209.871592315	428864.88561535877	3443294.8600266296	1623161.1752205023	808907.0682894915	27570234.27110379
P00091	GENE91	Protein 91	950927.1378471662	10115741.93131957	470353.45570225123	812794809.8944756	2870866.5634796	38242774.32110359	8278916.403264222	1452428.9002866056	4804964.612016061	17326540.422714416	7491601.602771178	3355892.0241064755
P00092	GENE92	Protein 92	8784714.546512108	1875997.6567140447	2153830.1344771073	8883251.637361139	663912.010346008	7511352.918242056	3520385.992271626	179273.37229735244	814874.0508597407	47395045.68665991	6833212.502210817	32627807.041086357
P00093	GENE93	Protein 93	129040.82059245133	11618306.945701165	210386.60110801665	33865968.332142524	1830327.399558137	7717324.403032117	7182011.306352875	5017367.5351614645	2026414.926883022	50125968.96812156	5570223.280793118	121693215.64693168
P00094	GENE94	Protein 94	1937598.5996500326	4472596.652277536	2486554.606268028	7620825.749127311	6130805.072029758	10732600.970465902	3738115.2155898996	1243403.2720739476	670678.5250861968	4723339.30019108	2494464.37437562	5197987.186335951
P00095	GENE95	Protein 95	79684927.72121368	10922461.412224274	1748731.677112411	2381095.0694052926	131506.1695008098	7960961.578089731	6875319.314504325	1601015.3566766903	1451623.5853670423	2225029.6792103895	3091982.6045444403	10295718.484595338
P00096	GENE96	Protein 96	2836570.4610317242	2002672.5459123084	1442695.7451782697	16835806.9379768	3191639.912247725	1663474.915988857	307908.7966132082	1128677.4875770225	2503502.961020406	5150269.777589422	7439557.358733146	8639882.20183506
P00097	GENE97	Protein 97	1915446.2382539273	2765518.671134887	468754.36555700644	911823.8476630292	3442528.5426608413	22751919.01950209	952117661.1043825	5559674.86321941	5962722.30768149	25876426.033809032	10704115.116317676	3410281.25580628
P00098	GENE98	Protein 98	15110676.283240622	6511879.33086485	1985279.9615381134	23022696.670302246	1251010.1769994462	11565882.522419106	5163118.2898294795	11211945.928520814	3737255.5171155883	2768478.3365304978	17831386.961581495	5706636.481941429
P00099	GENE99	Protein 99	3455625.775132038	5619998.140202124	2243256.22329736	4445502.226562108	5368752.173913111	13721572.032156073	4423990.099207837	8241506.840185414	646069.5077847835	5905326.461529792	31493145.2305003	2089475.6213142385
P00100	GENE100	Protein 100	2501439.3074964304	8439606.655583499	543535.0986122364	5894042.558506562	2545793.512570512	896481.4642703504	1390259.7135960925	1566786.8610166206	1907259.233667722	26804990.191779032	50051024.347376265	1727790.4009915628
P00101	GENE101	Protein 101	24608062.634879135	288950.28112092527	3549076.142706809	4930826.938434891	1596169.900627356	7876481.754276505	698779.0152816166	20701150.592164494	8478345.131172623	34862220.62730531	1906826.4567717288	35337664.08962172
P00102	GENE102	Protein 102	3931465.5953053944	3526438.3139949567	366259.3452594768	36601247.545299046	3436120.663250688	10651347.495784665	18731462.790551875	1971503.0443296337	15618062.100750664	10865656.666525522	401865.7450463142	2284525.510783299
P00103	GENE103	Protein 103	11535622.932347942	295182.2901627841	745617.27870889	350209.5828038062	894079.3264001625	4656020.479141055	765089.4390807506	1016770.9580671877	2278701.6428606515	15791355.647755414	1248403.6172007655	33079424.9967504
P00104	GENE104	Protein 104	715271.7666841903	1402991.8177945544	96523530.32509203	10521276.853474915	1304205.4599282374	30380699.658831995	1759155.2995485922	7230455.024526788	3709288.2659254884	2210313.616549001	8615507.611297952	15974642.257423155
P00105	GENE105	Protein 105	17253768.50861731	1532957.2286681612	1504353.3992802815	40915931.55724976	3316308.8511742535	301601901.4136541	9185433.399005532	1239078.759800252	3941560.6771619567	3118678.5370446574	320024.1758070581	10078837.885365745
P00106	GENE106	Protein 106	3438303.531225495	3821580.7484270483	506229.1437722801	2261563.7377181104	5376701.115381423	6932371.510266989	2278774.5343321986	15073879.88001074	16100313.496419625	9318529.655175209	3110011.353545814	17395612.141904835
P00107	GENE107	Protein 107	6990981.854082658	1002505.7478338127	4519118.059296882	5622621.708117138	6225489.7524471115	132557069.9833927	6025594.519036875	12154344.70903676	211676.0404000879	56255905.600654416	6761554.919504127	3115978.2886269954
P00108	GENE108	Protein 108	28603647.905237816	379859.307382268	268841.6933047336	44094908.745844245	868264.362052132	9682781.197324447	12598493.637469461	978351.4245563925	15581436.612536086	279425.8551510808	9488455.448000327	6681946.652013348
P00109	GENE109	Protein 109	4174922.806163915	598182.8429231575	697467.5700545978	14963930.296260407	21726818.615159336	261033.7215753367	2100035.99620192	3027399.1625681305	338213.6639933945	1509421.3660659178	326971.313629312	390723.9175584468
P00110	GENE110	Protein 110	7856252.898646473	633628.0449560347	835387.9674209749	1016429.3032701089	3491054.731053851	579653.1005025492	872144.6353821869	1042982.3827095196	1179113.674282039	18774049.619170085	2240738.0778415524	34041147.85648114
P00111	GENE111	Protein 111	21664960.000140145	629126.1437025011	6187115.1775589725	38030764.79791086	6042246.703881316	2396622.59779725	1470511.6884213581	168777.21819455945	396860.1213957037	5886690.36553424	34782862.57441372	3939782.495763757
P00112	GENE112	Protein 112	3841378.6820853446	1382057.1427513084	2620634.9884978626	2536837.272162882	960741.2942720257	8803875.044562442	4988573.939911809	6727372.078102562	587306.4399619005	14933972.306880256	23808947.169143427	12920017.255096503
P00113	GENE113	Protein 113	4272980.505525511	973021.8443858736	3182552.638173767	2746687.6817804915	5691938.087018859	48671261.38762741	5894224.461717731	375315.8941575085	1926850.0350346637	309075.46533155465	501674.31005652284	1303569.5599847832
P00114	GENE114	Protein 114	2585494.315779141	558284.0836921744	225449.7273187553	2765805.9547753916	20353183.679465707	2058856.6458352848	30663107.068556502	3617688.381504831	4856165.884696114	232171375.09264216	1565962.9052098203	18022879.374889463
P00115	GENE115	Protein 115	2070744.0931642586	541385.2313582704	15893489.017943414	4893088.104508563	1942023.273482469	3495445.0626586704	1795322.2707304177	262727.39691729256	613263.0026615537	27355904.89173707	19961723.747191593	456628.917057804
P00116	GENE116	Protein 116	8628146.722376848	1413329.0681478537	1440417.681375919	4074667.492627526	5349882.003774379	506512.01006698207	8805008.82298262	1736141.330317003	9250034.647601618	48960637.459037796	4464624.420353808	14038972.901450578
P00117	GENE117	Protein 117	15336961.536075141	649060.4836230656	4491330.763564729	4438535.732770734	319126.60408431455	48635813.40570378	29880770.48471245	3628965.4614867643	1488929.2841842591	23950611.18785767	2194467.547151173	17498615.708470512
P00118	GENE118	Protein 118	290436.4896617274	4547503.005623969	1141220.6473653722	645977.5742668828	3844720.7699365527	11931166.879377872	1318981.4744196446	1446787.7050104437	1194944.9424968958	4741629.922023261	1621490.4454688702	4387843.226809157
P00119	GENE119	Protein 119	22298036.557741497	11249061.709766995	5453954.014041066	6782466.77079699	2470932.8448046735	43856426.98231606	348445.67595794826	6723894.419795304	771763.8513876565	35034810.54616352	6015930.666810898	3141107.513096049
P00120	GENE120	Protein 120	760754.877154373	444371.2834551667	1683169.467758173	19227451.906105228	68380.22945676534	6361459.819131273	1586518.4031264426	1193207.6395302971	1937314.9799597932	3718845.766866864	203657.6585810811	15906579.809162596
P00121	GENE121	Protein 121	3227407.590000117	3704087.7216513185	1675525.0638913692	13463490.577399973	4330425.053824054	5245441.829458589	899484.9234530178	7030035.539861828	5153109.149946708	4037439.360876318	549010.0401867809	49416982.90654242
P00122	GENE122	Protein 122	607270.6853690242	39579271.39917477	15388559.459038794	9675787.527044022	1885505.9097559259	20058743.617185015	4110801.727588127	6067793.158607196	11334669.62249975	4500379.050729208	2425428.763569678	5355922.0421746615
